,time
460,1.7969
461,1.8008
462,1.8047
463,1.8086
464,1.8125
465,1.8164
466,1.8203
467,1.8242
468,1.8281
469,1.832
470,1.8359
471,1.8398
472,1.8438
473,1.8477
474,1.8516
475,1.8555
476,1.8594
477,1.8633
478,1.8672
479,1.8711
480,1.875
481,1.8789
482,1.8828
483,1.8867
484,1.8906
485,1.8945
486,1.8984
487,1.9023
488,1.9062
489,1.9102
490,1.9141
491,1.918
492,1.9219
493,1.9258
494,1.9297
495,1.9336
496,1.9375
497,1.9414
498,1.9453
499,1.9492
500,1.9531
501,1.957
502,1.9609
503,1.9648
504,1.9688
505,1.9727
506,1.9766
507,1.9805
508,1.9844
509,1.9883
510,1.9922
511,1.9961
512,2.0
513,2.0039
514,2.0078
515,2.0117
516,2.0156
517,2.0195
518,2.0234
519,2.0273
520,2.0312
521,2.0352
522,2.0391
523,2.043
524,2.0469
525,2.0508
526,2.0547
527,2.0586
528,2.0625
529,2.0664
530,2.0703
531,2.0742
532,2.0781
533,2.082
534,2.0859
535,2.0898
536,2.0938
537,2.0977
538,2.1016
539,2.1055
540,2.1094
541,2.1133
542,2.1172
543,2.1211
544,2.125
545,2.1289
546,2.1328
547,2.1367
548,2.1406
549,2.1445
550,2.1484
551,2.1523
552,2.1562
553,2.1602
554,2.1641
555,2.168
556,2.1719
557,2.1758
558,2.1797
559,2.1836
560,2.1875
561,2.1914
562,2.1953
563,2.1992
564,2.2031
565,2.207
566,2.2109
567,2.2148
568,2.2188
569,2.2227
570,2.2266
571,2.2305
572,2.2344
573,2.2383
574,2.2422
575,2.2461
576,2.25
577,2.2539
578,2.2578
579,2.2617
580,2.2656
581,2.2695
582,2.2734
583,2.2773
584,2.2812
585,2.2852
586,2.2891
587,2.293
588,2.2969
589,2.3008
590,2.3047
591,2.3086
592,2.3125
593,2.3164
594,2.3203
595,2.3242
596,2.3281
597,2.332
598,2.3359
599,2.3398
600,2.3438
601,2.3477
602,2.3516
603,2.3555
604,2.3594
605,2.3633
606,2.3672
607,2.3711
608,2.375
609,2.3789
610,2.3828
611,2.3867
